dataset,task,setting,analysis_scope,conversation_id_hash,assistant_turn_id_hash,assistant_turn_index,source_family,model_or_source_family,learning_intent,is_intentional,task_domain,language_flag,is_english,assistant_support_type,assistant_is_scaffolded,assistant_support_intent,assistant_has_M1_feedback,assistant_has_M2_hinting,assistant_has_M3_instructing,assistant_has_M4_explaining,assistant_has_M5_modelling,assistant_has_M6_questioning,previous_user_emotional,previous_user_cognitive_level,previous_user_is_constructive,previous_user_is_error,next_user_emotional,next_user_cognitive_level,next_user_is_constructive,next_user_is_error
ShareChat,writing,ShareChat writing,main_six_setting,c540f69f63e14036a68907cdae743288118795cf0b54e32b17c19b3da33bdba9,282d35be5ee5b3ccb14a49dade1692df3403dc0c8c245fb62227e9fe08d3149f,1,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,S2,1,['I2'],1,0,0,1,1,0,0,A,0,0,0,A,0,0
ShareChat,writing,ShareChat writing,main_six_setting,08e25fd16e291dc47e0798eb69a0a8520a67ebcd3616439d9ec46ee7c841c375,3722a644fe36fa6454f8371a59d0b534e44784a48b1707e287754f186d9c9d82,1,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,881507aafff7b5305873b4ae3fc1dd17cd512f9e33cde68762a63c8ff0ae4e4e,7a78dd2e46e7944bc1edccb3d35be982119a1b5c3f5cffcce8ee62c1570061be,1,sharechat,gemini,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,881507aafff7b5305873b4ae3fc1dd17cd512f9e33cde68762a63c8ff0ae4e4e,58630aef3a810716cf0b2e7e7cc80271763726b2e120204007fae34ec1a2fddf,3,sharechat,gemini,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,A,0,0
ShareChat,writing,ShareChat writing,main_six_setting,881507aafff7b5305873b4ae3fc1dd17cd512f9e33cde68762a63c8ff0ae4e4e,bc016591e7064b5c75b0fb32c673d342f5082eb0be0e46c3829fa23d6227a597,5,sharechat,gemini,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,A,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,8eda51eb0f113d959513babd3841c44aa087141f279841dccbffb2b5415bb64b,b8d2d789fe4360e5abdc1317586a73ed0a7025f0b9df97be25c21952b5b56e08,1,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,5fa8a99c0eb9dd619ff344f94a538fd1f0670c57f3913b0ba72941ee12223f80,1,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,A,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,acfb87db1d3a779ff9ff8bf152b3ed0aa2df33b8f46f31448b48473dcb390f08,3,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,e600b0e7dc89cd9fb6f81128d1af29d295d394d6a2d896daf1040688a9a5f46b,5,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,31cdc87b764e29860ee4ff43eb9df4cc8a89dd7bb2533dd7124ff647c9499d59,7,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,A,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,f14405da45e565d18a59e6a5ffb6970c20b3cc2a8693bc5bbfe3d5771e7d3f9a,9,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S2,1,['I1'],1,0,0,0,0,0,0,A,0,0,0,A,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,da16f8bcf00d0c5862da711f5fb387bceda3cdadb510c631c32f84faca37e4b1,11,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,A,0,0,0,A,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,43e6efb0d186361db82a6009fe6067d81ba7d60720502dd1d8baa8d88f2f9553,13,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,A,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,cb7fa579a4e0b9d5cde22421bd6bf506b939778a2bc1386f2aa93760495de391,15,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,60f94a1620460f315e66086cf0792ad2fcd8ac9b19b63657788800184b7f1f84,17,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,b65498d30592f36054f04fbd96319d436cfde8bab4b605c042e540b0478cd7b3,19,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
